0.0,3.5,2.375,3.5,2.0,2.75,4.0,3.75,3.25,3.5,4.0,3.0
3.5,0.0,2.0,3.5,3.0,2.5,4.0,3.5,3.875,3.75,4.0,3.25
2.375,2.0,0.0,3.75,2.75,3.0,3.875,3.75,3.75,4.0,4.0,3.0
3.5,3.5,3.75,0.0,2.0,3.5,4.0,1.375,4.0,2.625,3.75,3.625
2.0,3.0,2.75,2.0,0.0,3.375,4.0,2.25,3.75,2.5,4.0,3.25
2.75,2.5,3.0,3.5,3.375,0.0,3.75,3.125,2.5,3.0,4.0,3.25
4.0,4.0,3.875,4.0,4.0,3.75,0.0,4.0,3.75,3.75,2.75,4.0
3.75,3.5,3.75,1.375,2.25,3.125,4.0,0.0,4.0,2.875,3.75,3.75
3.25,3.875,3.75,4.0,3.75,2.5,3.75,4.0,0.0,4.0,4.0,4.0
3.5,3.75,4.0,2.625,2.5,3.0,3.75,2.875,4.0,0.0,3.25,3.625
4.0,4.0,4.0,3.75,4.0,4.0,2.75,3.75,4.0,3.25,0.0,3.875
3.0,3.25,3.0,3.625,3.25,3.25,4.0,3.75,4.0,3.625,3.875,0.0
